State,X_Workers,Y_Vax,County,Size_Employees,Abbreviation,Rows,Columns
Alabama,60.1,39.6,Autauga,11397,AL,1_R,1_C
Alabama,53.2,49.4,Baldwin,64354,AL,1_R,1_C
Alabama,73.8,40.8,Barbour,6980,AL,1_R,1_C
Alabama,55.3,33.9,Bibb,3519,AL,1_R,1_C
Alabama,38.9,30.4,Blount,6673,AL,1_R,1_C
Alabama,72.3,49.4,Bullock,2070,AL,1_R,1_C
Alabama,64.7,39.0,Butler,6175,AL,1_R,1_C
Alabama,66.3,45.4,Calhoun,36341,AL,1_R,1_C
Alabama,55.2,30.9,Chambers,6914,AL,1_R,1_C
Alabama,64.3,31.0,Cherokee,4413,AL,1_R,1_C
Alabama,52.8,35.2,Chilton,7861,AL,1_R,1_C
Alabama,53.0,63.2,Choctaw,2972,AL,1_R,1_C
Alabama,49.8,50.2,Clarke,6380,AL,1_R,1_C
Alabama,74.4,40.6,Clay,3601,AL,1_R,1_C
Alabama,54.3,31.0,Cleburne,1681,AL,1_R,1_C
Alabama,57.4,39.1,Coffee,13217,AL,1_R,1_C
Alabama,71.9,48.5,Colbert,23654,AL,1_R,1_C
Alabama,59.4,41.2,Conecuh,2717,AL,1_R,1_C
Alabama,65.3,38.8,Coosa,1059,AL,1_R,1_C
Alabama,58.3,38.2,Covington,10270,AL,1_R,1_C
Alabama,59.1,34.9,Crenshaw,3070,AL,1_R,1_C
Alabama,61.6,39.8,Cullman,24938,AL,1_R,1_C
Alabama,68.0,53.4,Dale,11045,AL,1_R,1_C
Alabama,62.8,41.8,Dallas,9501,AL,1_R,1_C
Alabama,64.2,33.0,DeKalb,18286,AL,1_R,1_C
Alabama,62.5,43.3,Elmore,14980,AL,1_R,1_C
Alabama,63.4,35.4,Escambia,10173,AL,1_R,1_C
Alabama,63.2,39.9,Etowah,30301,AL,1_R,1_C
Alabama,60.3,34.8,Fayette,3183,AL,1_R,1_C
Alabama,72.8,45.5,Franklin,10652,AL,1_R,1_C
Alabama,56.0,38.8,Geneva,3855,AL,1_R,1_C
Alabama,57.3,48.0,Greene,1379,AL,1_R,1_C
Alabama,46.8,61.4,Hale,1982,AL,1_R,1_C
Alabama,58.2,44.0,Henry,3418,AL,1_R,1_C
Alabama,62.0,43.5,Houston,43904,AL,1_R,1_C
Alabama,66.6,47.0,Jackson,12933,AL,1_R,1_C
Alabama,71.6,57.5,Jefferson,334980,AL,1_R,1_C
Alabama,61.3,44.2,Lamar,3220,AL,1_R,1_C
Alabama,58.9,46.6,Lauderdale,26317,AL,1_R,1_C
Alabama,51.8,47.3,Lawrence,3304,AL,1_R,1_C
Alabama,62.8,39.2,Lee,47911,AL,1_R,1_C
Alabama,59.2,37.1,Limestone,17576,AL,1_R,1_C
Alabama,73.7,48.0,Lowndes,1883,AL,1_R,1_C
Alabama,84.2,43.8,Macon,4877,AL,1_R,1_C
Alabama,70.1,60.2,Madison,167914,AL,1_R,1_C
Alabama,62.1,54.1,Marengo,6180,AL,1_R,1_C
Alabama,66.9,36.5,Marion,7812,AL,1_R,1_C
Alabama,65.8,45.7,Marshall,31948,AL,1_R,1_C
Alabama,69.1,49.0,Mobile,156406,AL,1_R,1_C
Alabama,67.7,42.1,Monroe,5319,AL,1_R,1_C
Alabama,69.0,51.7,Montgomery,104325,AL,1_R,1_C
Alabama,67.4,44.4,Morgan,45773,AL,1_R,1_C
Alabama,54.6,47.7,Perry,1520,AL,1_R,1_C
Alabama,40.5,46.9,Pickens,2701,AL,1_R,1_C
Alabama,64.9,38.9,Pike,11815,AL,1_R,1_C
Alabama,61.8,33.2,Randolph,3867,AL,1_R,1_C
Alabama,63.5,38.1,Russell,10971,AL,1_R,1_C
Alabama,62.8,38.9,St. Clair,18269,AL,1_R,1_C
Alabama,65.9,35.5,Shelby,86613,AL,1_R,1_C
Alabama,68.0,46.1,Sumter,2842,AL,1_R,1_C
Alabama,76.0,36.5,Talladega,25327,AL,1_R,1_C
Alabama,65.3,39.3,Tallapoosa,10274,AL,1_R,1_C
Alabama,68.1,43.1,Tuscaloosa,78802,AL,1_R,1_C
Alabama,54.7,47.5,Walker,14559,AL,1_R,1_C
Alabama,84.4,46.4,Washington,5258,AL,1_R,1_C
Alabama,44.0,52.6,Wilcox,1993,AL,1_R,1_C
Alabama,64.4,21.8,Winston,6817,AL,1_R,1_C
Alaska,93.1,70.4,Aleutians East Borough,2170,AK,1_R,2_C
Alaska,85.5,58.1,Aleutians West Census Area,3225,AK,1_R,2_C
Alaska,67.0,62.6,Anchorage Municipality,142738,AK,1_R,2_C
Alaska,62.4,75.4,Bethel Census Area,2961,AK,1_R,2_C
Alaska,44.0,99.9,Bristol Bay Borough,398,AK,1_R,2_C
Alaska,65.3,51.9,Denali Borough,712,AK,1_R,2_C
Alaska,69.0,53.5,Dillingham Census Area,1237,AK,1_R,2_C
Alaska,49.9,54.8,Fairbanks North Star Borough,26588,AK,1_R,2_C
Alaska,27.1,72.0,Haines Borough,560,AK,1_R,2_C
Alaska,28.0,72.1,Hoonah-Angoon Census Area,275,AK,1_R,2_C
Alaska,48.1,74.9,Juneau City and Borough,10952,AK,1_R,2_C
Alaska,45.4,48.7,Kenai Peninsula Borough,14675,AK,1_R,2_C
Alaska,50.2,66.5,Ketchikan Gateway Borough,4799,AK,1_R,2_C
Alaska,68.0,67.4,Kodiak Island Borough,5520,AK,1_R,2_C
Alaska,61.1,80.8,Kusilvak Census Area,731,AK,1_R,2_C
Alaska,0.0,63.2,Lake and Peninsula Borough,238,AK,1_R,2_C
Alaska,43.2,38.8,Matanuska-Susitna Borough,18559,AK,1_R,2_C
Alaska,69.8,80.2,Nome Census Area,2119,AK,1_R,2_C
Alaska,88.9,39.2,North Slope Borough,4313,AK,1_R,2_C
Alaska,82.0,67.3,Northwest Arctic Borough,1859,AK,1_R,2_C
Alaska,37.0,76.7,Petersburg Borough,848,AK,1_R,2_C
Alaska,42.1,55.8,Prince of Wales-Hyder Census Area,1028,AK,1_R,2_C
Alaska,48.6,78.8,Sitka City and Borough,2987,AK,1_R,2_C
Alaska,22.7,73.0,Skagway Municipality,387,AK,1_R,2_C
Alaska,43.0,33.2,Southeast Fairbanks Census Area,1243,AK,1_R,2_C
Alaska,45.7,61.3,Valdez-Cordova Census Area,2814,AK,1_R,2_C
Alaska,32.1,61.2,Wrangell City and Borough,574,AK,1_R,2_C
Alaska,31.0,78.4,Yakutat City and Borough,145,AK,1_R,2_C
Alaska,17.8,74.6,Yukon-Koyukuk Census Area,400,AK,1_R,2_C
Arizona,56.5,79.9,Apache,6454,AZ,1_R,3_C
Arizona,60.6,62.4,Cochise,24938,AZ,1_R,3_C
Arizona,56.8,76.0,Coconino,54792,AZ,1_R,3_C
Arizona,61.0,59.5,Gila,11169,AZ,1_R,3_C
Arizona,58.1,65.4,Graham,7402,AZ,1_R,3_C
Arizona,92.2,46.0,Greenlee,3323,AZ,1_R,3_C
Arizona,56.7,45.4,La Paz,3710,AZ,1_R,3_C
Arizona,71.4,57.2,Maricopa,1748608,AZ,1_R,3_C
Arizona,51.7,40.5,Mohave,43206,AZ,1_R,3_C
Arizona,53.8,70.4,Navajo,19457,AZ,1_R,3_C
Arizona,67.4,67.1,Pima,325315,AZ,1_R,3_C
Arizona,68.4,52.4,Pinal,51898,AZ,1_R,3_C
Arizona,41.3,99.9,Santa Cruz,11562,AZ,1_R,3_C
Arizona,50.0,44.8,Yavapai,62156,AZ,1_R,3_C
Arizona,64.2,68.0,Yuma,45172,AZ,1_R,3_C
Arkansas,70.1,57.6,Arkansas,8707,AR,1_R,4_C
Arkansas,52.8,51.0,Ashley,5435,AR,1_R,4_C
Arkansas,58.9,47.6,Baxter,13465,AR,1_R,4_C
Arkansas,74.5,52.4,Benton,123749,AR,1_R,4_C
Arkansas,61.5,37.9,Boone,12473,AR,1_R,4_C
Arkansas,42.0,59.1,Bradley,2497,AR,1_R,4_C
Arkansas,12.0,36.1,Calhoun,424,AR,1_R,4_C
Arkansas,60.8,43.6,Carroll,8400,AR,1_R,4_C
Arkansas,47.5,56.7,Chicot,1961,AR,1_R,4_C
Arkansas,63.5,48.5,Clark,6880,AR,1_R,4_C
Arkansas,48.9,46.5,Clay,2442,AR,1_R,4_C
Arkansas,48.0,45.0,Cleburne,5610,AR,1_R,4_C
Arkansas,40.5,53.2,Cleveland,649,AR,1_R,4_C
Arkansas,58.6,46.0,Columbia,7120,AR,1_R,4_C
Arkansas,51.5,55.7,Conway,4688,AR,1_R,4_C
Arkansas,64.7,43.7,Craighead,43515,AR,1_R,4_C
Arkansas,66.8,46.9,Crawford,16615,AR,1_R,4_C
Arkansas,62.4,43.9,Crittenden,13332,AR,1_R,4_C
Arkansas,56.0,52.0,Cross,3812,AR,1_R,4_C
Arkansas,57.5,57.2,Dallas,2328,AR,1_R,4_C
Arkansas,56.6,60.3,Desha,3339,AR,1_R,4_C
Arkansas,54.1,48.5,Drew,5165,AR,1_R,4_C
Arkansas,61.7,49.5,Faulkner,36148,AR,1_R,4_C
Arkansas,59.2,50.1,Franklin,3327,AR,1_R,4_C
Arkansas,42.2,33.1,Fulton,1455,AR,1_R,4_C
Arkansas,55.9,44.9,Garland,34912,AR,1_R,4_C
Arkansas,54.0,47.0,Grant,3339,AR,1_R,4_C
Arkansas,71.1,44.6,Greene,14936,AR,1_R,4_C
Arkansas,71.3,34.3,Hempstead,6194,AR,1_R,4_C
Arkansas,59.0,43.1,Hot Spring,5748,AR,1_R,4_C
Arkansas,75.5,54.9,Howard,5849,AR,1_R,4_C
Arkansas,70.2,41.6,Independence,14684,AR,1_R,4_C
Arkansas,40.6,36.1,Izard,2022,AR,1_R,4_C
Arkansas,54.1,38.5,Jackson,3538,AR,1_R,4_C
Arkansas,68.4,40.6,Jefferson,19627,AR,1_R,4_C
Arkansas,75.8,49.2,Johnson,7371,AR,1_R,4_C
Arkansas,12.3,38.3,Lafayette,653,AR,1_R,4_C
Arkansas,61.4,45.1,Lawrence,3034,AR,1_R,4_C
Arkansas,38.1,33.0,Lee,894,AR,1_R,4_C
Arkansas,43.9,33.1,Lincoln,1537,AR,1_R,4_C
Arkansas,66.1,31.2,Little River,2732,AR,1_R,4_C
Arkansas,56.1,47.2,Logan,3808,AR,1_R,4_C
Arkansas,52.8,49.8,Lonoke,11411,AR,1_R,4_C
Arkansas,58.1,43.3,Madison,2558,AR,1_R,4_C
Arkansas,63.8,35.4,Marion,2730,AR,1_R,4_C
Arkansas,63.5,14.5,Miller,11452,AR,1_R,4_C
Arkansas,77.1,41.6,Mississippi,16463,AR,1_R,4_C
Arkansas,53.1,54.6,Monroe,1801,AR,1_R,4_C
Arkansas,17.2,38.1,Montgomery,855,AR,1_R,4_C
Arkansas,73.3,39.8,Nevada,1966,AR,1_R,4_C
Arkansas,29.4,33.5,Newton,602,AR,1_R,4_C
Arkansas,66.0,54.7,Ouachita,7777,AR,1_R,4_C
Arkansas,42.1,53.6,Perry,793,AR,1_R,4_C
Arkansas,57.6,50.6,Phillips,3908,AR,1_R,4_C
Arkansas,31.1,43.0,Pike,2061,AR,1_R,4_C
Arkansas,56.1,44.1,Poinsett,3765,AR,1_R,4_C
Arkansas,50.7,35.1,Polk,4956,AR,1_R,4_C
Arkansas,66.9,50.2,Pope,23129,AR,1_R,4_C
Arkansas,38.9,43.4,Prairie,938,AR,1_R,4_C
Arkansas,68.3,57.7,Pulaski,212795,AR,1_R,4_C
Arkansas,53.9,40.9,Randolph,3591,AR,1_R,4_C
Arkansas,60.4,49.9,St. Francis,5564,AR,1_R,4_C
Arkansas,53.9,49.8,Saline,22430,AR,1_R,4_C
Arkansas,61.4,46.3,Scott,2054,AR,1_R,4_C
Arkansas,52.5,40.6,Searcy,1122,AR,1_R,4_C
Arkansas,68.7,49.5,Sebastian,61951,AR,1_R,4_C
Arkansas,64.5,45.1,Sevier,3755,AR,1_R,4_C
Arkansas,38.5,39.2,Sharp,2650,AR,1_R,4_C
Arkansas,40.6,38.2,Stone,2060,AR,1_R,4_C
Arkansas,63.6,48.7,Union,15702,AR,1_R,4_C
Arkansas,48.3,44.3,Van Buren,3303,AR,1_R,4_C
Arkansas,64.8,53.4,Washington,91980,AR,1_R,4_C
Arkansas,62.4,46.4,White,22461,AR,1_R,4_C
Arkansas,54.5,59.2,Woodruff,1145,AR,1_R,4_C
Arkansas,66.2,48.9,Yell,4925,AR,1_R,4_C
California,65.3,79.1,Alameda,698915,CA,2_R,1_C
California,0.0,0.0,Alpine,521,CA,2_R,1_C
California,47.8,49.2,Amador,8205,CA,2_R,1_C
California,54.9,52.4,Butte,63965,CA,2_R,1_C
California,27.9,50.5,Calaveras,6375,CA,2_R,1_C
California,55.1,61.6,Colusa,4055,CA,2_R,1_C
California,63.4,80.1,Contra Costa,340960,CA,2_R,1_C
California,48.0,41.0,Del Norte,4074,CA,2_R,1_C
California,49.1,62.4,El Dorado,46655,CA,2_R,1_C
California,62.5,61.3,Fresno,270631,CA,2_R,1_C
California,49.2,55.9,Glenn,4944,CA,2_R,1_C
California,43.4,63.9,Humboldt,35465,CA,2_R,1_C
California,60.0,78.8,Imperial,32846,CA,2_R,1_C
California,40.6,0.0,Inyo,5190,CA,2_R,1_C
California,62.8,51.6,Kern,197072,CA,2_R,1_C
California,68.1,43.3,Kings,26315,CA,2_R,1_C
California,49.2,59.8,Lake,9951,CA,2_R,1_C
California,48.0,34.9,Lassen,3480,CA,2_R,1_C
California,62.7,68.8,Los Angeles,3869073,CA,2_R,1_C
California,58.7,52.9,Madera,27141,CA,2_R,1_C
California,47.5,86.6,Marin,101704,CA,2_R,1_C
California,35.4,0.0,Mariposa,2528,CA,2_R,1_C
California,39.1,67.6,Mendocino,23683,CA,2_R,1_C
California,63.9,47.9,Merced,46063,CA,2_R,1_C
California,34.0,0.0,Modoc,1137,CA,2_R,1_C
California,53.1,0.0,Mono,7036,CA,2_R,1_C
California,56.4,69.8,Monterey,116241,CA,2_R,1_C
California,53.1,75.4,Napa,64285,CA,2_R,1_C
California,45.0,61.1,Nevada,29483,CA,2_R,1_C
California,63.6,71.1,Orange,1531111,CA,2_R,1_C
California,63.6,66.8,Placer,155719,CA,2_R,1_C
California,40.7,0.0,Plumas,3788,CA,2_R,1_C
California,64.1,58.1,Riverside,594454,CA,2_R,1_C
California,66.3,65.8,Sacramento,493415,CA,2_R,1_C
California,51.1,63.1,San Benito,12948,CA,2_R,1_C
California,67.3,57.0,San Bernardino,617828,CA,2_R,1_C
California,64.7,56.9,San Diego,1291966,CA,2_R,1_C
California,68.7,79.2,San Francisco,673488,CA,2_R,1_C
California,65.8,56.8,San Joaquin,194835,CA,2_R,1_C
California,46.3,57.7,San Luis Obispo,93500,CA,2_R,1_C
California,68.5,81.5,San Mateo,399111,CA,2_R,1_C
California,53.4,69.5,Santa Barbara,153488,CA,2_R,1_C
California,73.9,85.3,Santa Clara,1084463,CA,2_R,1_C
California,47.7,75.3,Santa Cruz,79641,CA,2_R,1_C
California,53.3,48.2,Shasta,50673,CA,2_R,1_C
California,0.0,0.0,Sierra,188,CA,2_R,1_C
California,40.7,54.5,Siskiyou,8554,CA,2_R,1_C
California,67.1,64.1,Solano,115426,CA,2_R,1_C
California,52.6,76.0,Sonoma,177148,CA,2_R,1_C
California,63.5,52.6,Stanislaus,145041,CA,2_R,1_C
California,54.9,59.3,Sutter,22670,CA,2_R,1_C
California,61.7,40.6,Tehama,12513,CA,2_R,1_C
California,35.4,0.0,Trinity,1537,CA,2_R,1_C
California,62.2,53.2,Tulare,97726,CA,2_R,1_C
California,49.3,55.3,Tuolumne,12741,CA,2_R,1_C
California,57.4,71.8,Ventura,264123,CA,2_R,1_C
California,63.9,67.5,Yolo,67490,CA,2_R,1_C
California,61.3,51.1,Yuba,10096,CA,2_R,1_C
Colorado,67.8,68.7,Adams,177876,CO,2_R,2_C
Colorado,49.0,57.9,Alamosa,5699,CO,2_R,2_C
Colorado,68.1,67.2,Arapahoe,300423,CO,2_R,2_C
Colorado,38.8,57.9,Archuleta,3802,CO,2_R,2_C
Colorado,56.1,42.4,Baca,522,CO,2_R,2_C
Colorado,51.8,24.0,Bent,558,CO,2_R,2_C
Colorado,56.9,76.5,Boulder,156325,CO,2_R,2_C
Colorado,79.4,80.8,Broomfield,47588,CO,2_R,2_C
Colorado,35.7,62.9,Chaffee,6349,CO,2_R,2_C
Colorado,44.3,35.5,Cheyenne,616,CO,2_R,2_C
Colorado,57.2,47.9,Clear Creek,2987,CO,2_R,2_C
Colorado,29.9,50.5,Conejos,799,CO,2_R,2_C
Colorado,0.0,62.1,Costilla,350,CO,2_R,2_C
Colorado,0.0,19.7,Crowley,521,CO,2_R,2_C
Colorado,5.5,47.6,Custer,505,CO,2_R,2_C
Colorado,45.8,48.9,Delta,6747,CO,2_R,2_C
Colorado,69.4,74.1,Denver,460537,CO,2_R,2_C
Colorado,0.0,43.8,Dolores,273,CO,2_R,2_C
Colorado,65.7,74.6,Douglas,114980,CO,2_R,2_C
Colorado,51.0,81.5,Eagle,33753,CO,2_R,2_C
Colorado,22.7,37.1,Elbert,2786,CO,2_R,2_C
Colorado,65.9,62.8,El Paso,246115,CO,2_R,2_C
Colorado,49.8,42.3,Fremont,8201,CO,2_R,2_C
Colorado,40.1,64.8,Garfield,20168,CO,2_R,2_C
Colorado,87.5,57.1,Gilpin,4712,CO,2_R,2_C
Colorado,56.3,62.6,Grand,8987,CO,2_R,2_C
Colorado,31.8,67.8,Gunnison,7006,CO,2_R,2_C
Colorado,0.0,57.5,Hinsdale,116,CO,2_R,2_C
Colorado,49.0,54.1,Huerfano,1068,CO,2_R,2_C
Colorado,9.0,44.7,Jackson,312,CO,2_R,2_C
Colorado,60.0,77.0,Jefferson,201782,CO,2_R,2_C
Colorado,14.5,41.8,Kiowa,276,CO,2_R,2_C
Colorado,36.1,41.8,Kit Carson,1909,CO,2_R,2_C
Colorado,26.4,60.0,Lake,1373,CO,2_R,2_C
Colorado,48.3,71.4,La Plata,22488,CO,2_R,2_C
Colorado,53.7,67.6,Larimer,128778,CO,2_R,2_C
Colorado,37.6,61.1,Las Animas,3131,CO,2_R,2_C
Colorado,41.4,36.1,Lincoln,1480,CO,2_R,2_C
Colorado,44.8,36.3,Logan,5177,CO,2_R,2_C
Colorado,56.4,50.4,Mesa,53120,CO,2_R,2_C
Colorado,0.0,77.5,Mineral,193,CO,2_R,2_C
Colorado,50.6,44.8,Moffat,3458,CO,2_R,2_C
Colorado,39.1,62.9,Montezuma,6622,CO,2_R,2_C
Colorado,45.0,48.7,Montrose,12699,CO,2_R,2_C
Colorado,65.1,49.1,Morgan,9941,CO,2_R,2_C
Colorado,53.6,50.8,Otero,4266,CO,2_R,2_C
Colorado,2.5,62.4,Ouray,1208,CO,2_R,2_C
Colorado,8.1,47.0,Park,1587,CO,2_R,2_C
