State,Percent of all state workers in bottom left quadrant_x,Rows,Columns,FIPS,State rank,County,Size_Employees,Y_Vax,X_Workers,Percent of all state workers in bottom left quadrant_y
WY,34.39,1_R,1_C,56001,1,Albany,9771,0.525,0.446,34.39
WY,34.39,1_R,1_C,56003,1,Big Horn,2472,0.394,0.499,34.39
WY,34.39,1_R,1_C,56005,1,Campbell,20011,0.311,0.577,34.39
WY,34.39,1_R,1_C,56007,1,Carbon,4208,0.475,0.476,34.39
WY,34.39,1_R,1_C,56009,1,Converse,4632,0.353,0.567,34.39
WY,34.39,1_R,1_C,56011,1,Crook,1519,0.317,0.35,34.39
WY,34.39,1_R,1_C,56013,1,Fremont,10105,0.621,0.363,34.39
WY,34.39,1_R,1_C,56015,1,Goshen,2973,0.401,0.408,34.39
WY,34.39,1_R,1_C,56017,1,Hot Springs,1551,0.509,0.408,34.39
WY,34.39,1_R,1_C,56019,1,Johnson,2427,0.449,0.181,34.39
WY,34.39,1_R,1_C,56021,1,Laramie,34247,0.559,0.571,34.39
WY,34.39,1_R,1_C,56023,1,Lincoln,4525,0.433,0.398,34.39
WY,34.39,1_R,1_C,56025,1,Natrona,31979,0.46,0.491,34.39
WY,34.39,1_R,1_C,56027,1,Niobrara,423,0.301,0.27,34.39
WY,34.39,1_R,1_C,56029,1,Park,9786,0.48,0.45,34.39
WY,34.39,1_R,1_C,56031,1,Platte,2175,0.425,0.48,34.39
WY,34.39,1_R,1_C,56033,1,Sheridan,11025,0.527,0.4,34.39
WY,34.39,1_R,1_C,56035,1,Sublette,2807,0.34,0.346,34.39
WY,34.39,1_R,1_C,56037,1,Sweetwater,15705,0.467,0.611,34.39
WY,34.39,1_R,1_C,56039,1,Teton,18181,0.907,0.4,34.39
WY,34.39,1_R,1_C,56041,1,Uinta,7527,0.513,0.624,34.39
WY,34.39,1_R,1_C,56043,1,Washakie,2577,0.434,0.443,34.39
WY,34.39,1_R,1_C,56045,1,Weston,1723,0.376,0.424,34.39
MT,21.5,1_R,2_C,30001,2,Beaverhead,2582,0.549,0.395,21.5
MT,21.5,1_R,2_C,30003,2,Big Horn,2285,0.858,0.681,21.5
MT,21.5,1_R,2_C,30005,2,Blaine,991,0.86,0.364,21.5
MT,21.5,1_R,2_C,30007,2,Broadwater,898,0.346,0.302,21.5
MT,21.5,1_R,2_C,30009,2,Carbon,2233,0.497,0.314,21.5
MT,21.5,1_R,2_C,30011,2,Carter,124,0.334,0,21.5
MT,21.5,1_R,2_C,30013,2,Cascade,30591,0.568,0.549,21.5
MT,21.5,1_R,2_C,30015,2,Chouteau,717,0.325,0.12,21.5
MT,21.5,1_R,2_C,30017,2,Custer,3916,0.455,0.438,21.5
MT,21.5,1_R,2_C,30019,2,Daniels,546,0.432,0,21.5
MT,21.5,1_R,2_C,30021,2,Dawson,2531,0.417,0.443,21.5
MT,21.5,1_R,2_C,30023,2,Deer Lodge,2750,0.562,0.6,21.5
MT,21.5,1_R,2_C,30025,2,Fallon,974,0.385,0.223,21.5
MT,21.5,1_R,2_C,30027,2,Fergus,3398,0.493,0.338,21.5
MT,21.5,1_R,2_C,30029,2,Flathead,39605,0.439,0.484,21.5
MT,21.5,1_R,2_C,30031,2,Gallatin,48670,0.599,0.4,21.5
MT,21.5,1_R,2_C,30033,2,Garfield,135,0.224,0,21.5
MT,21.5,1_R,2_C,30035,2,Glacier,1989,0.894,0.54,21.5
MT,21.5,1_R,2_C,30037,2,Golden Valley,62,0.481,0,21.5
MT,21.5,1_R,2_C,30039,2,Granite,621,0.372,0,21.5
MT,21.5,1_R,2_C,30041,2,Hill,5032,0.624,0.499,21.5
MT,21.5,1_R,2_C,30043,2,Jefferson,1885,0.514,0.264,21.5
MT,21.5,1_R,2_C,30045,2,Judith Basin,189,0.418,0.138,21.5
MT,21.5,1_R,2_C,30047,2,Lake,5792,0.614,0.428,21.5
MT,21.5,1_R,2_C,30049,2,Lewis and Clark,25616,0.621,0.511,21.5
MT,21.5,1_R,2_C,30051,2,Liberty,356,0.361,0.104,21.5
MT,21.5,1_R,2_C,30053,2,Lincoln,4055,0.359,0.293,21.5
MT,21.5,1_R,2_C,30055,2,McCone,343,0.198,0.14,21.5
MT,21.5,1_R,2_C,30057,2,Madison,1624,0.456,0.063,21.5
MT,21.5,1_R,2_C,30059,2,Meagher,318,0.532,0,21.5
MT,21.5,1_R,2_C,30061,2,Mineral,730,0.559,0.208,21.5
MT,21.5,1_R,2_C,30063,2,Missoula,51140,0.662,0.5,21.5
MT,21.5,1_R,2_C,30065,2,Musselshell,844,0.363,0.38,21.5
MT,21.5,1_R,2_C,30067,2,Park,5091,0.591,0.385,21.5
MT,21.5,1_R,2_C,30069,2,Petroleum,17,0.331,0,21.5
MT,21.5,1_R,2_C,30071,2,Phillips,818,0.461,0.125,21.5
MT,21.5,1_R,2_C,30073,2,Pondera,1220,0.57,0.437,21.5
MT,21.5,1_R,2_C,30075,2,Powder River,296,0.225,0,21.5
MT,21.5,1_R,2_C,30077,2,Powell,1086,0.45,0.183,21.5
MT,21.5,1_R,2_C,30079,2,Prairie,173,0.392,0,21.5
MT,21.5,1_R,2_C,30081,2,Ravalli,9634,0.509,0.353,21.5
MT,21.5,1_R,2_C,30083,2,Richland,4558,0.41,0.441,21.5
MT,21.5,1_R,2_C,30085,2,Roosevelt,1756,0.686,0.445,21.5
MT,21.5,1_R,2_C,30087,2,Rosebud,2213,0.844,0.546,21.5
MT,21.5,1_R,2_C,30089,2,Sanders,2138,0.402,0.235,21.5
MT,21.5,1_R,2_C,30091,2,Sheridan,809,0.519,0.297,21.5
MT,21.5,1_R,2_C,30093,2,Silver Bow,13121,0.644,0.523,21.5
MT,21.5,1_R,2_C,30095,2,Stillwater,2583,0.459,0.651,21.5
MT,21.5,1_R,2_C,30097,2,Sweet Grass,1258,0.433,0.486,21.5
MT,21.5,1_R,2_C,30099,2,Teton,1032,0.446,0.31,21.5
